network,group,members,size,degree
network_064,12,5;10,2,11
network_064,13,5;11,2,6
network_064,14,6;7,2,8
network_064,15,6;8,2,9
network_064,16,7;8,2,11
network_064,17,7;9,2,10
network_064,18,7;10,2,13
network_064,19,8;9,2,11
network_064,20,9;10,2,13
network_064,21,10;11,2,10
network_064,22,1;8;9,3,13
network_064,23,2;3;10,3,11
network_064,24,5;10;11,3,12
network_064,25,6;7;8,3,12
network_064,26,7;8;9,3,13
network_064,27,7;9;10,3,16
network_065,0,0;1,2,18
network_065,1,0;2,2,10
network_065,2,0;3,2,14
network_065,3,0;11,2,16
network_065,4,1;2,2,17
network_065,5,1;3,2,20
network_065,6,1;5,2,17
network_065,7,1;6,2,17
network_065,8,1;10,2,19
network_065,9,1;11,2,21
network_065,10,2;3,2,12
network_065,11,3;4,2,10
network_065,12,3;6,2,13
network_065,13,3;8,2,11
network_065,14,4;5,2,6
network_065,15,5;6,2,9
network_065,16,5;11,2,14
network_065,17,6;7,2,9
network_065,18,7;8,2,6
network_065,19,7;10,2,9
network_065,20,7;11,2,13
network_065,21,8;9,2,5
network_065,22,9;10,2,8
network_065,23,9;11,2,12
network_065,24,10;11,2,13
network_065,25,0;1;2,3,19
network_065,26,0;1;3,3,22
network_065,27,0;1;11,3,24
network_065,28,0;2;3,3,15
network_065,29,1;2;3,3,21
network_065,30,1;3;6,3,22
network_065,31,1;5;6,3,19
network_065,32,1;5;11,3,23
network_065,33,1;10;11,3,23
network_065,34,7;10;11,3,15
network_065,35,9;10;11,3,14
network_066,0,0;1,2,7
network_066,1,0;2,2,9
network_066,2,0;4,2,14
network_066,3,0;7,2,15
network_066,4,0;11,2,12
network_066,5,1;2,2,5
network_066,6,2;3,2,7
network_066,7,2;6,2,10
network_066,8,3;4,2,11
network_066,9,3;7,2,12
network_066,10,4;5,2,12
network_066,11,4;6,2,13
network_066,12,4;7,2,15
network_066,13,5;6,2,9
network_066,14,5;7,2,13
network_066,15,6;7,2,14
network_066,16,7;8,2,16
network_066,17,8;9,2,9
network_066,18,8;10,2,9
network_066,19,8;11,2,10
network_066,20,9;10,2,8
network_066,21,9;11,2,9
network_066,22,10;11,2,9
network_066,23,0;1;2,3,9
network_066,24,0;4;7,3,19
network_066,25,3;4;7,3,16
network_066,26,4;5;6,3,14
network_066,27,4;5;7,3,16
network_066,28,4;6;7,3,17
network_066,29,5;6;7,3,15
network_066,30,8;9;10,3,10
network_066,31,8;9;11,3,11
network_066,32,8;10;11,3,11
network_066,33,9;10;11,3,10
network_067,0,0;1,2,7
network_067,1,0;8,2,11
network_067,2,0;10,2,8
network_067,3,0;11,2,7
network_067,4,1;2,2,7
network_067,5,1;7,2,4
network_067,6,2;3,2,6
network_067,7,2;5,2,9
network_067,8,2;6,2,7
network_067,9,2;10,2,9
network_067,10,3;4,2,4
network_067,11,4;5,2,7
network_067,12,4;8,2,9
network_067,13,5;6,2,7
network_067,14,5;8,2,11
network_067,15,6;7,2,5
network_067,16,7;8,2,9
network_067,17,8;9,2,8
network_067,18,8;11,2,10
network_067,19,9;10,2,5
network_067,20,10;11,2,7
network_067,21,0;8;11,3,12
network_067,22,0;10;11,3,9
network_067,23,2;5;6,3,10
network_067,24,4;5;8,3,12
network_068,0,0;1,2,10
network_068,1,0;3,2,14
network_068,2,0;4,2,13
network_068,3,0;7,2,9
network_068,4,0;11,2,9
network_068,5,1;2,2,10
network_068,6,1;3,2,13
network_068,7,1;9,2,11
network_068,8,2;3,2,14
network_068,9,2;4,2,13
network_068,10,2;7,2,9
network_068,11,2;10,2,11
network_068,12,3;4,2,15
network_068,13,3;6,2,14
network_068,14,3;8,2,12
network_068,15,4;5,2,12
network_068,16,4;6,2,11
network_068,17,5;6,2,9
network_068,18,5;9,2,10
network_068,19,5;10,2,9
network_068,20,6;7,2,8
network_068,21,7;8,2,5
network_068,22,8;9,2,8
network_068,23,9;10,2,9
network_068,24,9;11,2,8
network_068,25,10;11,2,7
network_068,26,0;1;3,3,16
network_068,27,0;3;4,3,18
network_068,28,1;2;3,3,16
network_068,29,2;3;4,3,18
network_068,30,3;4;6,3,17
network_068,31,4;5;6,3,14
network_068,32,5;9;10,3,12
network_068,33,9;10;11,3,10
network_069,0,0;1,2,11
network_069,1,0;2,2,11
network_069,2,0;3,2,11
network_069,3,0;9,2,11
network_069,4,0;11,2,9
network_069,5,1;2,2,10
network_069,6,1;3,2,10
network_069,7,1;6,2,10
network_069,8,2;3,2,10
network_069,9,2;10,2,8
network_069,10,3;4,2,11
network_069,11,4;5,2,6
network_069,12,4;6,2,8
network_069,13,4;8,2,8
network_069,14,4;11,2,7
network_069,15,5;6,2,5
network_069,16,6;7,2,7
network_069,17,7;8,2,5
network_069,18,7;9,2,6
network_069,19,8;9,2,6
network_069,20,9;10,2,6
network_069,21,10;11,2,4
network_069,22,0;1;2,3,13
network_069,23,0;1;3,3,13
network_069,24,0;2;3,3,13
network_069,25,1;2;3,3,12
network_069,26,4;5;6,3,8
network_069,27,7;8;9,3,7
network_070,0,0;1,2,6
network_070,1,0;3,2,9
network_070,2,0;6,2,8
network_070,3,0;11,2,9
network_070,4,1;2,2,4
network_070,5,1;8,2,7
network_070,6,2;3,2,8
network_070,7,2;9,2,7
network_070,8,3;4,2,11
network_070,9,3;8,2,10
network_070,10,3;11,2,11
network_070,11,4;5,2,8
network_070,12,4;6,2,9
network_070,13,4;8,2,10
network_070,14,4;10,2,9
network_070,15,5;6,2,6
network_070,16,5;9,2,8
network_070,17,6;7,2,6
network_070,18,7;8,2,7
network_070,19,7;11,2,8
network_070,20,8;9,2,10
network_070,21,9;10,2,7
network_070,22,9;11,2,10
network_070,23,10;11,2,8
network_070,24,0;3;11,3,13
network_070,25,3;4;8,3,14
network_070,26,4;5;6,3,10
network_070,27,9;10;11,3,11
network_071,0,0;1,2,13
network_071,1,0;2,2,8
network_071,2,0;11,2,4
network_071,3,1;2,2,15
network_071,4,1;3,2,13
network_071,5,1;4,2,13
network_071,6,1;5,2,13
network_071,7,1;6,2,13
network_071,8,1;8,2,13
network_071,9,2;3,2,9
network_071,10,2;7,2,9
network_071,11,2;9,2,8
network_071,12,3;4,2,7
network_071,13,4;5,2,7
network_071,14,5;6,2,6
network_071,15,6;7,2,6
network_071,16,7;8,2,5
network_071,17,7;10,2,5
network_071,18,8;9,2,4
network_071,19,9;10,2,4
network_071,20,10;11,2,3
network_071,21,0;1;2,3,16
network_071,22,1;2;3,3,16
network_071,23,1;3;4,3,14
network_071,24,1;4;5,3,14
network_071,25,1;5;6,3,14
network_072,0,0;1,2,10
network_072,1,0;3,2,12
network_072,2,0;4,2,11
network_072,3,0;6,2,15
network_072,4,0;11,2,8
network_072,5,1;2,2,6
network_072,6,1;3,2,9
network_072,7,2;3,2,9
network_072,8,2;10,2,9
network_072,9,3;4,2,12
network_072,10,3;7,2,11
network_072,11,4;5,2,9
network_072,12,4;6,2,13
network_072,13,5;6,2,11
network_072,14,5;7,2,7
network_072,15,6;7,2,12
network_072,16,6;9,2,12
network_072,17,6;10,2,14
network_072,18,7;8,2,7
network_072,19,8;9,2,6
network_072,20,8;10,2,8
network_072,21,9;10,2,8
network_072,22,10;11,2,7
network_072,23,0;1;3,3,13
network_072,24,0;3;4,3,15
network_072,25,0;4;6,3,17
network_072,26,1;2;3,3,10
network_072,27,4;5;6,3,14
network_072,28,5;6;7,3,13
network_072,29,6;9;10,3,15
network_072,30,8;9;10,3,9
network_073,0,0;1,2,11
network_073,1,0;2,2,9
network_073,2,0;6,2,11
network_073,3,0;7,2,12
network_073,4,0;11,2,10
network_073,5,1;2,2,8
network_073,6,1;7,2,11
network_073,7,1;8,2,8
network_073,8,2;3,2,5
network_073,9,3;4,2,5
network_073,10,3;7,2,9
network_073,11,4;5,2,4
network_073,12,4;6,2,7
network_073,13,5;6,2,6
network_073,14,6;7,2,11
network_073,15,7;8,2,9
network_073,16,8;9,2,6
network_073,17,9;10,2,4
network_073,18,9;11,2,5
network_073,19,10;11,2,4
network_073,20,0;1;2,3,12
network_073,21,0;1;7,3,14
network_073,22,0;6;7,3,15
network_073,23,1;7;8,3,12
network_073,24,4;5;6,3,7
network_073,25,9;10;11,3,5
network_074,0,0;1,2,17
network_074,1,0;2,2,13
network_074,2,0;3,2,11
network_074,3,0;5,2,11
network_074,4,0;8,2,11
network_074,5,0;11,2,14
network_074,6,1;2,2,15
network_074,7,1;4,2,12
network_074,8,1;9,2,12
network_074,9,1;10,2,12
network_074,10,1;11,2,14
network_074,11,2;3,2,9
network_074,12,2;11,2,12
network_074,13,3;4,2,5
network_074,14,4;5,2,4
network_074,15,5;6,2,3
network_074,16,6;7,2,2
network_074,17,7;8,2,3
network_074,18,8;9,2,5
network_074,19,9;10,2,6
network_074,20,10;11,2,10
network_074,21,0;1;2,3,19
network_074,22,0;1;11,3,19
network_074,23,0;2;3,3,14
network_074,24,0;2;11,3,16
network_074,25,1;2;11,3,17
network_074,26,1;9;10,3,13
network_074,27,1;10;11,3,15
network_075,0,0;1,2,9
network_075,1,0;2,2,10
network_075,2,0;3,2,10
network_075,3,0;11,2,9
network_075,4,1;2,2,9
network_075,5,1;3,2,9
network_075,6,2;3,2,10
network_075,7,2;8,2,10
network_075,8,3;4,2,8
network_075,9,4;5,2,3
network_075,10,4;7,2,4
network_075,11,5;6,2,2
network_075,12,6;7,2,3
network_075,13,7;8,2,6
network_075,14,8;9,2,7
network_075,15,8;10,2,7
network_075,16,9;10,2,6
network_075,17,9;11,2,6
network_075,18,10;11,2,6
network_075,19,0;1;2,3,11
network_075,20,0;1;3,3,11
network_075,21,0;2;3,3,12
network_075,22,1;2;3,3,11
network_075,23,8;9;10,3,8
network_075,24,9;10;11,3,7
network_076,0,0;1,2,11
network_076,1,0;6,2,7
network_076,2,0;8,2,9
network_076,3,0;11,2,12
network_076,4,1;2,2,11
network_076,5,1;3,2,11
network_076,6,1;8,2,12
network_076,7,1;11,2,14
network_076,8,2;3,2,8
network_076,9,2;5,2,8
network_076,10,2;11,2,12
network_076,11,3;4,2,6
network_076,12,3;10,2,7
network_076,13,4;5,2,5
network_076,14,4;9,2,6
network_076,15,5;6,2,5
network_076,16,5;8,2,8
network_076,17,6;7,2,4
network_076,18,7;8,2,7
network_076,19,7;11,2,10
network_076,20,8;9,2,9
network_076,21,9;10,2,6
network_076,22,9;11,2,11
network_076,23,10;11,2,10
network_076,24,0;1;8,3,14
network_076,25,0;1;11,3,16
network_076,26,1;2;3,3,13
network_076,27,1;2;11,3,16
network_076,28,9;10;11,3,12
network_077,0,0;1,2,16
network_077,1,0;2,2,14
network_077,2,0;3,2,17
network_077,3,0;8,2,13
network_077,4,0;11,2,12
network_077,5,1;2,2,16
network_077,6,1;3,2,17
network_077,7,1;10,2,16
network_077,8,1;11,2,12
network_077,9,2;3,2,16
network_077,10,2;6,2,10
network_077,11,2;8,2,12
network_077,12,3;4,2,11
network_077,13,3;9,2,15
network_077,14,3;10,2,16
network_077,15,4;5,2,2
network_077,16,5;6,2,3
network_077,17,6;7,2,7
network_077,18,7;8,2,9
network_077,19,7;9,2,9
network_077,20,7;10,2,12
network_077,21,8;9,2,10
network_077,22,9;10,2,12
network_077,23,10;11,2,11
network_077,24,0;1;2,3,19
network_077,25,0;1;3,3,21
network_077,26,0;1;11,3,17
network_077,27,0;2;3,3,20
network_077,28,0;2;8,3,17
network_077,29,1;2;3,3,21
network_077,30,1;3;10,3,21
network_077,31,1;10;11,3,17
network_077,32,3;9;10,3,19
network_077,33,7;8;9,3,12
network_077,34,7;9;10,3,14
network_078,0,0;1,2,6
network_078,1,0;3,2,8
network_078,2,0;11,2,5
network_078,3,1;2,2,7
network_078,4,1;3,2,8
network_078,5,2;3,2,8
network_078,6,2;4,2,11
network_078,7,3;4,2,13
network_078,8,4;5,2,11
network_078,9,4;6,2,11
network_078,10,4;7,2,12
network_078,11,5;6,2,8
network_078,12,5;7,2,9
network_078,13,6;7,2,9
network_078,14,7;8,2,8
network_078,15,8;9,2,3
network_078,16,8;11,2,4
network_078,17,9;10,2,2
network_078,18,10;11,2,3
network_078,19,0;1;3,3,9
network_078,20,1;2;3,3,9
network_078,21,2;3;4,3,14
network_078,22,4;5;6,3,12
network_078,23,4;5;7,3,13
network_078,24,4;6;7,3,13
network_078,25,5;6;7,3,10
network_079,0,0;1,2,4
network_079,1,0;5,2,4
network_079,2,0;11,2,4
network_079,3,1;2,2,5
network_079,4,1;7,2,4
network_079,5,2;3,2,7
network_079,6,2;4,2,6
network_079,7,3;4,2,8
network_079,8,3;6,2,8
network_079,9,3;10,2,8
network_079,10,4;5,2,6
network_079,11,4;11,2,6
network_079,12,5;6,2,6
network_079,13,6;7,2,6
network_079,14,6;10,2,7
network_079,15,7;8,2,3
network_079,16,8;9,2,2
network_079,17,9;10,2,5
network_079,18,10;11,2,6
network_079,19,2;3;4,3,9
network_079,20,3;6;10,3,10
network_080,0,0;1,2,15
network_080,1,0;2,2,14
network_080,2,0;3,2,18
network_080,3,0;8,2,11
network_080,4,0;10,2,11
network_080,5,0;11,2,10
network_080,6,1;2,2,13
network_080,7,1;3,2,16
network_080,8,1;7,2,11
network_080,9,1;9,2,10
network_080,10,2;3,2,15
network_080,11,2;4,2,10
network_080,12,3;4,2,13
network_080,13,3;5,2,13
network_080,14,3;7,2,14
network_080,15,4;5,2,6
network_080,16,5;6,2,4
network_080,17,6;7,2,5
network_080,18,7;8,2,6
network_080,19,8;9,2,4
network_080,20,9;10,2,5
network_080,21,10;11,2,4
network_080,22,0;1;2,3,18
network_080,23,0;1;3,3,21
network_080,24,0;2;3,3,20
network_080,25,0;10;11,3,11
network_080,26,1;2;3,3,18
network_080,27,1;3;7,3,18
network_080,28,2;3;4,3,16
network_080,29,3;4;5,3,14
network_081,0,0;1,2,4
network_081,1,0;3,2,4
network_081,2,0;11,2,4
network_081,3,1;2,2,4
network_081,4,1;10,2,5
network_081,5,2;3,2,4
network_081,6,2;6,2,6
network_081,7,3;4,2,5
network_081,8,4;5,2,5
network_081,9,4;6,2,6
network_081,10,5;6,2,6
network_081,11,5;10,2,6
network_081,12,6;7,2,5
network_081,13,7;8,2,3
network_081,14,8;9,2,3
network_081,15,8;11,2,4
network_081,16,9;10,2,4
network_081,17,10;11,2,5
network_081,18,4;5;6,3,7
network_082,0,0;1,2,16
network_082,1,0;4,2,18
network_082,2,0;5,2,17
network_082,3,0;6,2,21
network_082,4,0;9,2,18
network_082,5,0;10,2,20
network_082,6,0;11,2,16
network_082,7,1;2,2,4
network_082,8,1;4,2,8
network_082,9,2;3,2,3
network_082,10,3;4,2,8
network_082,11,3;6,2,12
network_082,12,4;5,2,11
network_082,13,4;7,2,10
network_082,14,5;6,2,15
network_082,15,5;11,2,9
network_082,16,6;7,2,13
network_082,17,6;9,2,14
network_082,18,6;10,2,16
network_082,19,7;8,2,5
network_082,20,7;10,2,12
network_082,21,8;9,2,7
network_082,22,9;10,2,13
network_082,23,10;11,2,12
network_082,24,0;1;4,3,19
network_082,25,0;4;5,3,20
network_082,26,0;5;6,3,23
network_082,27,0;5;11,3,18
network_082,28,0;6;9,3,23
network_082,29,0;6;10,3,24
network_082,30,0;9;10,3,22
network_082,31,0;10;11,3,21
network_082,32,6;7;10,3,18
network_082,33,6;9;10,3,18
network_083,0,0;1,2,11
network_083,1,0;2,2,13
network_083,2,0;4,2,12
network_083,3,0;11,2,8
network_083,4,1;2,2,13
network_083,5,1;3,2,9
network_083,6,1;4,2,13
network_083,7,2;3,2,11
network_083,8,2;5,2,10
network_083,9,2;6,2,10
network_083,10,2;10,2,14
network_083,11,3;4,2,11
network_083,12,4;5,2,11
network_083,13,4;7,2,12
network_083,14,4;11,2,10
network_083,15,5;6,2,5
network_083,16,6;7,2,7
network_083,17,7;8,2,7
network_083,18,7;10,2,9
network_083,19,8;9,2,5
network_083,20,8;10,2,8
network_083,21,9;10,2,7
network_083,22,10;11,2,9
network_083,23,0;1;2,3,16
network_083,24,0;1;4,3,15
network_083,25,0;4;11,3,13
network_083,26,1;2;3,3,14
network_083,27,1;3;4,3,14
network_083,28,2;5;6,3,11
network_083,29,7;8;10,3,10
network_083,30,8;9;10,3,8
network_084,0,0;1,2,9
network_084,1,0;2,2,10
network_084,2,0;3,2,10
network_084,3,0;11,2,12
network_084,4,1;2,2,9
network_084,5,1;3,2,9
network_084,6,2;3,2,10
network_084,7,2;5,2,11
network_084,8,3;4,2,9
network_084,9,4;5,2,7
network_084,10,4;7,2,7
network_084,11,5;6,2,7
network_084,12,5;7,2,8
network_084,13,6;7,2,7
network_084,14,6;9,2,9
network_084,15,7;8,2,11
network_084,16,8;9,2,10
network_084,17,8;10,2,9
network_084,18,8;11,2,10
network_084,19,9;10,2,9
network_084,20,9;11,2,10
network_084,21,10;11,2,9
network_084,22,0;1;2,3,11
network_084,23,0;1;3,3,11
network_084,24,0;2;3,3,12
network_084,25,1;2;3,3,11
network_084,26,4;5;7,3,9
network_084,27,5;6;7,3,9
network_084,28,8;9;10,3,11
network_084,29,8;9;11,3,12
network_084,30,8;10;11,3,11
network_084,31,9;10;11,3,11
network_085,0,0;1,2,11
network_085,1,0;4,2,13
network_085,2,0;6,2,11
network_085,3,0;7,2,9
network_085,4,0;11,2,8
network_085,5,1;2,2,7
network_085,6,1;4,2,12
network_085,7,1;6,2,11
network_085,8,1;9,2,10
network_085,9,2;3,2,6
network_085,10,3;4,2,11
network_085,11,3;9,2,8
network_085,12,3;10,2,9
network_085,13,4;5,2,8
network_085,14,4;8,2,9
network_085,15,4;10,2,12
network_085,16,5;6,2,7
network_085,17,6;7,2,8
network_085,18,6;10,2,12
network_085,19,7;8,2,5
network_085,20,8;9,2,6
network_085,21,9;10,2,9
network_085,22,10;11,2,7
network_085,23,0;1;4,3,16
network_085,24,0;1;6,3,14
network_085,25,0;6;7,3,12
network_085,26,3;4;10,3,14
network_085,27,3;9;10,3,11
network_086,0,0;1,2,10
network_086,1,0;2,2,14
network_086,2,0;3,2,13
network_086,3,0;11,2,11
network_086,4,1;2,2,13
network_086,5,1;11,2,9
network_086,6,2;3,2,15
network_086,7,2;4,2,13
network_086,8,2;6,2,12
network_086,9,2;11,2,14
network_086,10,3;4,2,10
network_086,11,3;8,2,12
network_086,12,3;10,2,11
network_086,13,4;5,2,5
network_086,14,4;7,2,8
network_086,15,5;6,2,3
network_086,16,6;7,2,6
network_086,17,7;8,2,9
network_086,18,7;9,2,7
network_086,19,8;9,2,8
network_086,20,8;10,2,9
network_086,21,9;10,2,8
network_086,22,10;11,2,11
network_086,23,0;1;2,3,15
network_086,24,0;1;11,3,12
network_086,25,0;2;3,3,18
network_086,26,0;2;11,3,16
network_086,27,1;2;11,3,15
network_086,28,2;3;4,3,17
network_086,29,3;8;10,3,14
network_086,30,7;8;9,3,10
network_086,31,8;9;10,3,10
network_087,0,0;1,2,11
network_087,1,0;2,2,11
network_087,2,0;3,2,11
network_087,3,0;5,2,12
network_087,4,0;10,2,15
network_087,5,0;11,2,12
network_087,6,1;2,2,7
network_087,7,1;10,2,11
network_087,8,2;3,2,6
network_087,9,3;4,2,8
network_087,10,4;5,2,7
network_087,11,4;6,2,7
network_087,12,4;7,2,7
network_087,13,5;6,2,6
network_087,14,6;7,2,6
network_087,15,7;8,2,8
network_087,16,8;9,2,6
network_087,17,8;10,2,11
network_087,18,8;11,2,8
network_087,19,9;10,2,9
network_087,20,10;11,2,10
network_087,21,0;1;2,3,12
network_087,22,0;1;10,3,16
network_087,23,0;2;3,3,12
network_087,24,0;10;11,3,16
network_087,25,4;5;6,3,8
network_087,26,4;6;7,3,8
network_087,27,8;9;10,3,11
network_087,28,8;10;11,3,12
network_088,0,0;1,2,5
network_088,1,0;11,2,6
network_088,2,1;2,2,11
network_088,3,1;4,2,13
network_088,4,1;8,2,13
network_088,5,2;3,2,11
network_088,6,2;5,2,15
network_088,7,2;9,2,15
network_088,8,2;10,2,14
network_088,9,3;4,2,14
network_088,10,3;5,2,13
network_088,11,3;7,2,7
network_088,12,4;5,2,18
network_088,13,4;8,2,17
network_088,14,4;9,2,17
network_088,15,4;11,2,14
network_088,16,5;6,2,11
network_088,17,5;8,2,18
network_088,18,5;10,2,17
network_088,19,6;7,2,3
network_088,20,7;8,2,12
network_088,21,8;9,2,17
network_088,22,8;10,2,17
network_088,23,9;10,2,15
network_088,24,9;11,2,12
network_088,25,10;11,2,13
network_088,26,1;4;8,3,19
network_088,27,2;3;5,3,17
network_088,28,2;5;10,3,20
network_088,29,2;9;10,3,19
network_088,30,3;4;5,3,20
network_088,31,4;5;8,3,23
network_088,32,4;8;9,3,22
network_088,33,4;9;11,3,19
network_088,34,5;8;10,3,23
network_088,35,8;9;10,3,21
network_088,36,9;10;11,3,17
network_089,0,0;1,2,9
network_089,1,0;2,2,12
network_089,2,0;9,2,9
network_089,3,0;11,2,10
network_089,4,1;2,2,12
network_089,5,1;3,2,12
network_089,6,1;9,2,10
network_089,7,2;3,2,13
network_089,8,2;8,2,15
network_089,9,2;10,2,15
network_089,10,3;4,2,9
network_089,11,3;10,2,14
network_089,12,3;11,2,11
network_089,13,4;5,2,3
network_089,14,4;8,2,10
network_089,15,5;6,2,2
network_089,16,6;7,2,2
network_089,17,7;8,2,9
network_089,18,8;9,2,12
network_089,19,8;10,2,14
network_089,20,8;11,2,12
network_089,21,9;10,2,13
network_089,22,10;11,2,12
network_089,23,0;1;2,3,14
network_089,24,0;1;9,3,12
network_089,25,1;2;3,3,16
network_089,26,2;3;10,3,18
network_089,27,2;8;10,3,19
network_089,28,3;10;11,3,16
network_089,29,8;9;10,3,17
network_089,30,8;10;11,3,16
network_090,0,0;1,2,6
network_090,1,0;2,2,7
network_090,2,0;3,2,7
network_090,3,0;11,2,10
network_090,4,1;2,2,5
network_090,5,2;3,2,6
network_090,6,3;4,2,6
network_090,7,4;5,2,6
network_090,8,4;6,2,7
network_090,9,5;6,2,7
network_090,10,5;7,2,6
network_090,11,6;7,2,7
network_090,12,6;10,2,8
network_090,13,7;8,2,6
network_090,14,8;9,2,6
network_090,15,8;11,2,7
network_090,16,9;10,2,6
network_090,17,9;11,2,7
network_090,18,10;11,2,7
network_090,19,0;1;2,3,7
network_090,20,0;2;3,3,8
network_090,21,4;5;6,3,8
network_090,22,5;6;7,3,8
network_090,23,8;9;11,3,8
network_090,24,9;10;11,3,8
network_091,0,0;1,2,10
network_091,1,0;5,2,8
network_091,2,0;8,2,8
network_091,3,0;9,2,11
network_091,4,0;11,2,9
network_091,5,1;2,2,7
network_091,6,1;3,2,7
network_091,7,1;10,2,7
network_091,8,2;3,2,6
network_091,9,2;4,2,7
network_091,10,3;4,2,7
network_091,11,4;5,2,6
network_091,12,4;7,2,6
network_091,13,5;6,2,4
network_091,14,6;7,2,4
network_091,15,6;9,2,9
network_091,16,7;8,2,5
network_091,17,8;9,2,9
network_091,18,9;10,2,9
network_091,19,9;11,2,9
network_091,20,10;11,2,6
network_091,21,0;8;9,3,12
network_091,22,0;9;11,3,12
network_091,23,1;2;3,3,8
network_091,24,2;3;4,3,8
network_091,25,9;10;11,3,10
network_092,0,0;1,2,26
network_092,1,0;2,2,13
network_092,2,0;3,2,21
network_092,3,0;7,2,17
network_092,4,0;11,2,13
network_092,5,1;2,2,23
network_092,6,1;3,2,29
network_092,7,1;5,2,23
network_092,8,1;6,2,24
network_092,9,1;7,2,26
network_092,10,1;9,2,22
network_092,11,1;10,2,23
network_092,12,1;11,2,22
network_092,13,2;3,2,17
network_092,14,3;4,2,15
network_092,15,3;6,2,19
network_092,16,3;7,2,20
network_092,17,3;10,2,19
network_092,18,4;5,2,5
network_092,19,5;6,2,10
network_092,20,5;8,2,6
network_092,21,6;7,2,14
network_092,22,7;8,2,11
network_092,23,8;9,2,5
network_092,24,9;10,2,8
network_092,25,10;11,2,9
network_092,26,0;1;2,3,27
network_092,27,0;1;3,3,32
network_092,28,0;1;7,3,30
network_092,29,0;1;11,3,27
network_092,30,0;2;3,3,22
network_092,31,0;3;7,3,25
network_092,32,1;2;3,3,30
network_092,33,1;3;6,3,31
network_092,34,1;3;7,3,32
network_092,35,1;3;10,3,31
network_092,36,1;5;6,3,26
network_092,37,1;6;7,3,28
network_092,38,1;9;10,3,24
network_092,39,1;10;11,3,24
network_092,40,3;6;7,3,23
network_093,0,0;1,2,5
network_093,1,0;6,2,10
network_093,2,0;11,2,3
network_093,3,1;2,2,4
network_093,4,1;3,2,6
network_093,5,2;3,2,5
network_093,6,3;4,2,10
network_093,7,3;9,2,6
network_093,8,4;5,2,10
network_093,9,4;6,2,12
network_093,10,4;7,2,11
network_093,11,5;6,2,12
network_093,12,5;7,2,11
network_093,13,5;10,2,8
network_093,14,6;7,2,12
network_093,15,6;8,2,10
network_093,16,7;8,2,9
network_093,17,8;9,2,5
network_093,18,9;10,2,4
network_093,19,10;11,2,3
network_093,20,1;2;3,3,6
network_093,21,4;5;6,3,14
network_093,22,4;5;7,3,13
network_093,23,4;6;7,3,14
network_093,24,5;6;7,3,14
network_093,25,6;7;8,3,13
network_094,0,0;1,2,5
network_094,1,0;2,2,6
network_094,2,0;5,2,8
network_094,3,0;11,2,5
network_094,4,1;2,2,4
network_094,5,2;3,2,10
network_094,6,3;4,2,8
network_094,7,3;6,2,11
network_094,8,3;7,2,11
network_094,9,3;8,2,9
network_094,10,3;10,2,9
network_094,11,4;5,2,5
network_094,12,5;6,2,8
network_094,13,5;7,2,9
network_094,14,6;7,2,9
network_094,15,6;9,2,7
network_094,16,7;8,2,8
network_094,17,8;9,2,5
network_094,18,9;10,2,4
network_094,19,10;11,2,3
network_094,20,0;1;2,3,6
network_094,21,3;6;7,3,13
network_094,22,3;7;8,3,12
network_094,23,5;6;7,3,11
network_095,0,0;1,2,19
network_095,1,0;2,2,17
network_095,2,0;3,2,17
network_095,3,0;10,2,12
network_095,4,0;11,2,16
network_095,5,1;2,2,18
network_095,6,1;3,2,19
network_095,7,1;5,2,15
network_095,8,1;7,2,15
network_095,9,1;11,2,18
network_095,10,2;3,2,16
network_095,11,2;4,2,11
network_095,12,2;7,2,12
network_095,13,3;4,2,12
network_095,14,3;11,2,17
network_095,15,4;5,2,7
network_095,16,5;6,2,5
network_095,17,5;11,2,12
network_095,18,6;7,2,5
network_095,19,7;8,2,5
network_095,20,8;9,2,2
network_095,21,9;10,2,4
network_095,22,10;11,2,11
network_095,23,0;1;2,3,23
network_095,24,0;1;3,3,23
network_095,25,0;1;11,3,22
network_095,26,0;2;3,3,21
network_095,27,0;3;11,3,21
network_095,28,0;10;11,3,17
network_095,29,1;2;3,3,22
network_095,30,1;2;7,3,20
network_095,31,1;3;11,3,23
network_095,32,1;5;11,3,20
network_095,33,2;3;4,3,17
network_096,0,0;1,2,7
network_096,1,0;3,2,7
network_096,2,0;11,2,9
network_096,3,1;2,2,7
network_096,4,1;3,2,8
network_096,5,1;5,2,9
network_096,6,2;3,2,7
network_096,7,2;9,2,9
network_096,8,3;4,2,10
network_096,9,4;5,2,8
network_096,10,4;6,2,7
network_096,11,4;7,2,7
network_096,12,5;6,2,7
network_096,13,5;10,2,10
network_096,14,6;7,2,6
network_096,15,7;8,2,9
network_096,16,8;9,2,10
network_096,17,8;10,2,10
network_096,18,8;11,2,10
network_096,19,9;10,2,10
network_096,20,9;11,2,10
network_096,21,10;11,2,10
network_096,22,0;1;3,3,9
network_096,23,1;2;3,3,9
network_096,24,4;5;6,3,9
network_096,25,4;6;7,3,8
network_096,26,8;9;10,3,12
network_096,27,8;9;11,3,12
network_096,28,8;10;11,3,12
network_096,29,9;10;11,3,12
network_097,0,0;1,2,10
network_097,1,0;5,2,9
network_097,2,0;10,2,13
network_097,3,0;11,2,14
network_097,4,1;2,2,14
network_097,5,1;3,2,10
network_097,6,1;6,2,12
